arquivo;partner;ediCampanha;ediEmpresa;ediIntegracaoPedido;nroDoItem;codigoProduto;NomeProduto;EAN;UnidadeUnitaria;UnidadeCaixa;QuantidadeUnidadesEmbalagem;QuantidadeSugerida;QuantidadeMinima;QuantidadeMaxima;ValorUnitario;ValorCaixa;Ativo;VendaFracionada;PermiteEditarQuantidade;UsaMultiploVenda;MultiploVendasUnitario;Ordem;Comp1;Comp2;Comp3;Comp4;Valor1;Valor2;Imagem
bmitem;plugthink;mercearia_e_padaria_23_10_27;858;"mercearia_e_padaria_23_10_27;30";1;30;MATE COURO PET 1L CX12  00043;7,90E+12;CX;CX;12;1;1;0;49,92;49,92;S;N;S;N;1;1;;;;;49,92;49,92;https://i.im.ge/2023/10/19/tuP7lx.30.jpg
bmitem;plugthink;mercearia_e_padaria_23_10_27;858;"mercearia_e_padaria_23_10_27;10";2;10;MATE COURO PET 2L CX06  00012;7,90E+12;CX;CX;6;1;1;0;41,66;41,66;S;N;S;N;1;2;;;;;41,66;41,66;https://i.im.ge/2023/10/19/tuPXl1.10.jpg
